# Thermal Project data
# T (K)   delta C_p (R)
521.06	-0.0017085
521.14	-0.0016285
521.23	-0.0020585
521.31	-0.0017285
521.39	-0.0012285
521.47	-0.0012385
521.56	-0.0021785
521.64	-0.0039585
521.72	-0.0037185
521.81	-0.0025385
521.9	-0.0032185
521.98	-0.0028885
522.06	-0.0012885
522.14	-0.0013785
522.23	-0.0022385
522.31	-0.0009785
522.4	-0.0008985
522.47	-0.0016685
522.56	-0.0015085
522.64	-0.0015085
522.73	-0.0005885
522.81	-0.0015285
522.89	-0.0028085
522.98	-0.0028985
523.06	-0.0009585
523.15	0.0007315
523.23	0.0012315
523.31	0.0006315
523.4	0.0013815
523.48	0.0016315
523.57	0.0021315
523.65	0.0024615
523.73	0.0032115
523.81	0.0032115
523.89	0.0032815
523.98	0.0029415
524.06	0.0032715
524.14	0.0042815
524.23	0.0030015
524.31	0.0029915
524.4	0.0028215
524.48	0.0022215
524.56	0.0020415
524.65	0.0027915
524.73	0.0025315
524.81	0.0006615
524.89	0.0012515
524.97	0.0025115
525.06	0.0034315
525.15	0.0027515
525.23	0.0006215
525.31	-0.0013285
525.4	-0.0022685
525.48	-0.0004085
525.56	0.0019515
525.65	0.0012715
525.73	0.0008315
525.82	0.0002315
525.9	0.0001415
525.98	0.0008115
526.06	0.0023315
526.15	0.0013915
526.23	0.0007115
526.32	-0.0001485
526.4	-0.0003285
526.48	-0.0002485
526.57	0.0014415
526.65	0.0005815
526.73	0.0004115
526.82	0.0010815
526.9	0.0023415
526.98	0.0019115
527.06	0.0019815
527.15	0.0005415
527.23	0.0014615
527.31	0.0015415
527.4	0.0026315
527.48	0.0017815
527.56	0.0018615
527.65	0.0047315
527.73	0.0056515
527.81	0.0042015
527.9	0.0031015
527.98	0.0025815
528.06	0.0020615
528.15	0.0023115
528.23	0.0034015
528.32	0.0023015
528.39	0.0014415
528.48	0.0015215
528.56	0.0006715
528.65	0.0010015
528.73	0.0017515
528.81	0.0034415
528.9	0.0032615
528.98	0.0027415
529.06	0.0023115
529.15	0.0021415
529.23	0.0027215
529.32	0.0051715
529.4	0.0054215
529.48	0.0038815
529.56	0.0026915
529.64	0.0023515
529.73	0.0026815
529.81	0.0027515
529.89	0.0024915
529.98	3.15E-05
530.06	0.0005315
530.14	0.0019615
530.23	0.0018715
530.31	0.0006815
530.39	-0.0003385
530.48	0.0004915
530.56	0.0013315
530.64	0.0019215
530.73	0.0008115
530.81	-0.0017385
530.89	-0.0029285
530.98	-0.0013285
531.06	-0.0019285
531.14	-0.0024385
531.23	-0.0016885
531.31	-0.0011885
531.39	-0.0002585
531.48	0.0007415
531.56	0.0020115
531.65	0.0015715
531.73	0.0030915
531.81	0.0038415
531.9	0.0031615
531.98	0.0042515
532.06	0.0043315
532.15	0.0038215
532.23	0.0051615
532.31	0.0070215
532.4	0.0073515
532.48	0.0059915
532.57	0.0064915
532.64	0.0063115
532.73	0.0061315
532.81	0.0057915
532.9	0.0056915
532.98	0.0051015
533.07	0.0046615
533.15	0.0053315
533.23	0.0066015
533.31	0.0053215
533.39	0.0046315
533.48	0.0057315
533.57	0.0073315
533.65	0.0065615
533.73	0.0072315
533.82	0.0082415
533.9	0.0071315
533.98	0.0072115
